name,scientificName,family,category,lighting,soil,fertilizing,watering
Goldfruchtpalme,Dypsis lutescens,Arecaceae,indoor,Helles indirektes Licht. Keine direkte Mittagssonne.,Gut durchlässige Blumenerde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Gleichmäßig feucht halten.
Fächerpalme,,Arecaceae,indoor,Viel Licht. Direkte Sonne verträglich.,Gut durchlässige Erde mit Sand.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Kokospalme,,Arecaceae,indoor,Viel Licht. Direkte Sonne nötig.,Lockere durchlässige Erde mit Sand.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Dattelpalme,Phoenix,Arecaceae,indoor,Viel Licht. Direkte Sonne verträglich.,Gut durchlässige sandige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Fischschwanzpalme,,Arecaceae,indoor,Helles indirektes Licht. Keine direkte Sonne.,Gut durchlässige humusreiche Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Gleichmäßig feucht halten.
Steckenpalme,,Arecaceae,indoor,Wenig bis mittleres Licht. Schattenverträglich.,Gut durchlässige humusreiche Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Gleichmäßig feucht halten.
Zwergpalme,,Arecaceae,indoor,Viel Licht. Direkte Sonne verträglich.,Gut durchlässige sandige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Bananenpflanze,,,indoor,Viel Licht. Direkte Sonne möglich.,Nährstoffreiche humusreiche Erde. Gute Drainage.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Reichlich gießen.
Guzmania,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere orchideenartige Erde mit Rinde.,Alle 4 Wochen schwach düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Trichter mit Wasser füllen.
Vriesea,Vriesea,Bromeliaceae,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere orchideenartige Erde mit Rinde.,Alle 4 Wochen schwach düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Trichter mit Wasser füllen.
Aechmea,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere Erde mit Rinde und Moos.,Alle 4 Wochen schwach düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Trichter mit Wasser füllen.
Neoregelia,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere Erde mit Rinde und Moos.,Alle 4 Wochen schwach düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Trichter mit Wasser füllen.
Flamingoblume,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere Orchideenerde mit Perlite.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Katzengras,,Poaceae,outdoor,Helles Licht. Direkte Sonne verträglich.,Lockere durchlässige Erde.,Alle 4 Wochen leicht düngen.,Alle 3 Tage. Gleichmäßig feucht halten.
Grüne Birkenfeige,,,outdoor,Helles indirektes Licht. Keine Zugluft.,Gut durchlässige nährstoffreiche Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Ficus lyrata,,Moraceae,indoor,Helles indirektes Licht. Keine direkte Sonne.,Gut durchlässige nährstoffreiche Blumenerde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Erde leicht antrocknen lassen.
Ficus elastica,,Moraceae,indoor,Helles bis mittleres Licht. Keine pralle Sonne.,Gut durchlässige Blumenerde mit Sand.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Dreimasterblume,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere humusreiche Blumenerde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Weiße Birkenfeige,,,outdoor,Helles indirektes Licht. Keine Zugluft.,Gut durchlässige nährstoffreiche Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Echeveria,Echeveria,Crassulaceae,cacti,Viel Licht. Direkte Sonne ideal.,Mineralische gut drainierende Kakteenerde.,Alle 6 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 14 Tage. Sparsam gießen.
Haworthia,Haworthia,Asphodelaceae,cacti,Helles indirektes Licht. Keine pralle Sonne.,Gut drainierende Kakteenerde mit Sand.,Alle 6 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 14 Tage. Sparsam gießen.
Crassula ovata,,,cacti,Viel Licht. Direkte Sonne verträglich.,Gut drainierende Kakteenerde.,Alle 4 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 14 Tage. Sparsam gießen.
Sedum,Sedum,Crassulaceae,cacti,Viel Licht. Direkte Sonne ideal.,Mineralische gut drainierende Erde.,Alle 8 Wochen leicht düngen im Sommer. Im Winter nicht düngen.,Alle 14 Tage. Sparsam gießen.
Lithops,,,cacti,Viel Licht. Direkte Sonne notwendig.,Sehr gut drainierende mineralische Erde.,Im Sommer alle 8 Wochen sehr schwach düngen. Im Winter nicht düngen.,Alle 30 Tage. Extrem sparsam gießen.
Sempervivum,,,cacti,Viel Licht. Direkte Sonne ideal.,Gut drainierende sandige Erde.,Kein Dünger nötig. Höchstens einmal im Frühjahr.,Alle 14 Tage. Sparsam gießen.
Euphorbia trigona,,,cacti,Viel Licht. Direkte Sonne verträglich.,Gut drainierende Kakteenerde.,Alle 6 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 14 Tage. Sparsam gießen.
Weihnachtskaktus,Schlumbergera,Cactaceae,cacti,Helles indirektes Licht. Keine direkte Sonne.,Lockere durchlässige Erde mit Torfanteil.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Osterkaktus,Hatiora gaertneri,Cactaceae,cacti,Helles indirektes Licht. Keine direkte Sonne.,Lockere durchlässige Erde mit Torfanteil.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Dickblatt,,,indoor,Viel Licht. Direkte Sonne verträglich.,Gut drainierende Kakteenerde.,Alle 6 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 14 Tage. Sparsam gießen.
Fetthenne,,,cacti,Viel Licht. Direkte Sonne verträglich.,Durchlässige sandige Erde.,Alle 8 Wochen leicht düngen im Sommer. Im Winter nicht düngen.,Alle 14 Tage. Sparsam gießen.
Königin der Nacht,,,indoor,Helles indirektes Licht. Keine pralle Sonne.,Gut drainierende Kakteenerde.,Alle 4 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 14 Tage. Mäßig gießen.
Agave,,,cacti,Viel Licht. Volle Sonne notwendig.,Sehr gut drainierende sandige Erde.,Alle 8 Wochen leicht düngen im Sommer. Im Winter nicht düngen.,Alle 21 Tage. Sehr sparsam gießen.
Wolfsmilch,Euphorbia,Euphorbiaceae,indoor,Viel Licht. Direkte Sonne verträglich.,Gut drainierende Kakteenerde.,Alle 6 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 14 Tage. Sparsam gießen.
Zebra-Haworthie,,,cacti,Helles indirektes Licht. Keine pralle Sonne.,Gut drainierende Kakteenerde mit Sand.,Alle 8 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 14 Tage. Sparsam gießen.
Rosettendickblatt,Aeonium tabuliforme,Crassulaceae,cacti,Viel Licht. Direkte Sonne ideal.,Gut drainierende Kakteenerde.,Alle 6 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 14 Tage. Sparsam gießen.
Schwiegermutterstuhl,,,indoor,Viel Licht. Direkte Sonne notwendig.,Mineralische gut drainierende Kakteenerde.,Alle 8 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 30 Tage. Sehr sparsam gießen.
Feigenkaktus,,Cactaceae,cacti,Viel Licht. Volle Sonne ideal.,Sehr gut drainierende sandige Erde.,Alle 8 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 21 Tage. Sparsam gießen.
Bleistiftstrauch,,,indoor,Viel Licht. Direkte Sonne verträglich.,Gut drainierende Kakteenerde.,Alle 6 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 21 Tage. Sparsam gießen.
Oregano,Origanum vulgare,Lamiaceae,herbal,Viel Licht. Sonniger Standort ideal.,Durchlässige sandige Erde. Kein Staunässe.,Alle 6 Wochen leicht düngen. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Salbei,Salvia officinalis,Lamiaceae,herbal,Viel Licht. Sonniger Standort bevorzugt.,Durchlässige kalkhaltige Erde.,Alle 6 Wochen leicht düngen. Im Winter nicht düngen.,Alle 7 Tage. Sparsam gießen.
Estragon,,,herbal,Helles Licht. Sonnig bis halbschattig.,Durchlässige nährstoffreiche Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Koriander,,,herbal,Helles Licht. Keine pralle Mittagssonne.,Lockere humusreiche durchlässige Erde.,Alle 4 Wochen leicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Bohnenkraut,,,indoor,Viel Licht. Sonniger Standort.,Durchlässige magere Erde.,Alle 6 Wochen leicht düngen.,Alle 7 Tage. Sparsam gießen.
Liebstöckel,,,herbal,Helles bis mittleres Licht. Halbschatten verträglich.,Tiefgründige nährstoffreiche Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Lorbeer,,,indoor,Helles Licht. Sonnig bis halbschattig.,Gut durchlässige humusreiche Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Kerbel,,,herbal,Mittleres Licht. Keine pralle Sonne.,Lockere humusreiche feuchte Erde.,Alle 4 Wochen leicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Brunnenkresse,,,herbal,Mittleres Licht. Halbschatten möglich.,Feuchte nährstoffreiche Erde.,Alle 4 Wochen leicht düngen.,Alle 3 Tage. Sehr feucht halten.
Borretsch,,,indoor,Viel Licht. Sonniger Standort.,Lockere durchlässige Erde.,Alle 6 Wochen leicht düngen.,Alle 7 Tage. Mäßig gießen.
Currykraut,,,indoor,Viel Licht. Sonniger warmer Standort.,Durchlässige magere sandige Erde.,Alle 8 Wochen leicht düngen. Im Winter nicht düngen.,Alle 10 Tage. Sparsam gießen.
Minze,,,herbal,Helles bis mittleres Licht. Halbschatten möglich.,Feuchte humusreiche Erde.,Alle 4 Wochen düngen im Sommer.,Alle 5 Tage. Gleichmäßig feucht halten.
Zitronengras,,Poaceae,herbal,Viel Licht. Sonnig und warm.,Nährstoffreiche humusreiche feuchte Erde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Reichlich gießen.
Ingwer,,,herbal,Helles indirektes Licht. Keine direkte Sonne.,Lockere nährstoffreiche Erde. Gute Drainage.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Kurkuma,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere nährstoffreiche Erde. Gute Drainage.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Karotte,,,outdoor,Viel Licht. Sonniger Standort.,Lockere tiefgründige sandige Erde.,Alle 4 Wochen leicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Radieschen,,,outdoor,Helles Licht. Sonnig bis halbschattig.,Lockere durchlässige Erde.,Leichte Düngung bei Aussaat.,Alle 3 Tage. Gleichmäßig feucht halten.
Kohlrabi,,,outdoor,Viel Licht. Sonniger Standort.,Nährstoffreiche humusreiche Erde.,Alle 4 Wochen düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Sellerie,,,indoor,Helles Licht. Sonnig bis halbschattig.,Nährstoffreiche tiefgründige feuchte Erde.,Alle 2 Wochen düngen.,Alle 3 Tage. Gleichmäßig feucht halten.
Fenchel,,,indoor,Viel Licht. Sonniger warmer Standort.,Tiefgründige nährstoffreiche Erde.,Alle 4 Wochen düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Rote Bete,,,indoor,Helles Licht. Sonnig bis halbschattig.,Lockere tiefgründige humusreiche Erde.,Alle 4 Wochen düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Artischocke,,,indoor,Viel Licht. Sonniger warmer Standort.,Tiefgründige nährstoffreiche Erde. Gute Drainage.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Mäßig gießen.
Süßkartoffel,,,outdoor,Viel Licht. Sonnig und warm.,Lockere sandige nährstoffreiche Erde.,Alle 4 Wochen düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Kartoffel,,,outdoor,Viel Licht. Sonniger Standort.,Lockere sandige tiefgründige Erde.,Alle 4 Wochen düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Mais,,,outdoor,Viel Licht. Volle Sonne notwendig.,Nährstoffreiche tiefgründige Erde.,Alle 2 Wochen düngen während Wachstum.,Alle 5 Tage. Reichlich gießen.
Zwiebel,,,outdoor,Viel Licht. Sonniger Standort.,Lockere durchlässige Erde.,Alle 4 Wochen leicht düngen.,Alle 7 Tage. Mäßig gießen.
Knoblauch,,,indoor,Viel Licht. Sonniger Standort.,Lockere durchlässige nährstoffreiche Erde.,Alle 4 Wochen leicht düngen.,Alle 7 Tage. Mäßig gießen.
Spargel,,,indoor,Viel Licht. Sonniger Standort.,Tiefgründige sandige humusreiche Erde.,Im Frühling kräftig düngen. Nach Ernte alle 4 Wochen.,Alle 7 Tage. Mäßig gießen.
Grünkohl,,,outdoor,Helles Licht. Sonnig bis halbschattig.,Nährstoffreiche lehmige Erde.,Alle 4 Wochen düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Pak Choi,,,indoor,Helles Licht. Keine pralle Mittagssonne.,Lockere nährstoffreiche feuchte Erde.,Alle 4 Wochen leicht düngen.,Alle 3 Tage. Gleichmäßig feucht halten.
Rettich,,,indoor,Helles Licht. Sonnig bis halbschattig.,Lockere tiefgründige Erde.,Leichte Düngung bei Aussaat.,Alle 5 Tage. Gleichmäßig feucht halten.
Topinambur,,,indoor,Viel Licht. Sonniger Standort.,Lockere durchlässige Erde.,Alle 4 Wochen leicht düngen.,Alle 7 Tage. Mäßig gießen.
Pastinake,,,indoor,Helles Licht. Sonnig bis halbschattig.,Tiefgründige lockere Erde.,Alle 4 Wochen leicht düngen.,Alle 7 Tage. Mäßig gießen.
Wirsing,,,indoor,Helles Licht. Sonnig bis halbschattig.,Nährstoffreiche lehmige Erde.,Alle 4 Wochen düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Weißkohl,,,outdoor,Viel Licht. Sonniger Standort.,Nährstoffreiche schwere Erde.,Alle 3 Wochen düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Rotkohl,,,outdoor,Viel Licht. Sonniger Standort.,Nährstoffreiche schwere Erde.,Alle 3 Wochen düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Erdbeere,,,outdoor,Viel Licht. Sonniger Standort.,Lockere humusreiche leicht saure Erde.,Alle 2 Wochen düngen während der Blüte. Im Winter nicht düngen.,Alle 3 Tage. Gleichmäßig feucht halten.
Himbeere,,,outdoor,Viel Licht. Sonnig bis halbschattig.,Lockere humusreiche leicht saure Erde. Gute Drainage.,Im Frühling und Sommer alle 4 Wochen düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Heidelbeere,,,outdoor,Viel Licht. Sonniger bis halbschattiger Standort.,Saure torfhaltige Erde. pH-Wert 4 bis 5.,Alle 4 Wochen Rhododendrondünger im Sommer.,Alle 5 Tage. Gleichmäßig feucht halten.
Johannisbeere,,,indoor,Helles Licht. Sonnig bis halbschattig.,Nährstoffreiche humusreiche Erde.,Im Frühling und Sommer alle 4 Wochen düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Brombeere,,,outdoor,Viel Licht. Sonniger Standort.,Lockere humusreiche leicht saure Erde.,Im Frühling und Sommer alle 4 Wochen düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Stachelbeere,,,indoor,Helles Licht. Sonnig bis halbschattig.,Nährstoffreiche humusreiche Erde.,Im Frühling und Sommer alle 4 Wochen düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Feigenbaum,,,outdoor,Viel Licht. Sonniger geschützter Standort.,Gut durchlässige nährstoffreiche Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Granatapfel,,,outdoor,Viel Licht. Volle Sonne ideal.,Gut durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Orangenbaum,,,outdoor,Viel Licht. Sonniger Standort.,Gut durchlässige leicht saure Erde.,Alle 4 Wochen Zitruspflanzendünger im Sommer.,Alle 5 Tage. Mäßig gießen.
Mandarinenbäumchen,,,indoor,Viel Licht. Sonniger Standort.,Gut durchlässige leicht saure Erde.,Alle 4 Wochen Zitruspflanzendünger im Sommer.,Alle 5 Tage. Mäßig gießen.
Limette,,,indoor,Viel Licht. Sonniger warmer Standort.,Gut durchlässige leicht saure Erde.,Alle 4 Wochen Zitruspflanzendünger im Sommer.,Alle 5 Tage. Mäßig gießen.
Kumquat,,,indoor,Viel Licht. Sonniger Standort.,Gut durchlässige leicht saure Erde.,Alle 4 Wochen Zitruspflanzendünger im Sommer.,Alle 5 Tage. Mäßig gießen.
Kiwi,,,indoor,Viel Licht. Sonnig bis halbschattig.,Lockere humusreiche leicht saure Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Avocado,,,indoor,Viel Licht. Sonniger Standort.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Mango,,,indoor,Viel Licht. Volle Sonne notwendig.,Gut durchlässige nährstoffreiche Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Papaya,,,indoor,Viel Licht. Volle Sonne notwendig.,Lockere gut durchlässige nährstoffreiche Erde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Passionsfrucht,,,indoor,Viel Licht. Sonniger Standort.,Lockere humusreiche Erde. Gute Drainage.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Physalis,,,indoor,Viel Licht. Sonniger warmer Standort.,Lockere nährstoffreiche Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Mäßig gießen.
Guave,,,indoor,Viel Licht. Volle Sonne ideal.,Gut durchlässige nährstoffreiche Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Melone,,,indoor,Viel Licht. Volle Sonne notwendig.,Nährstoffreiche lockere Erde.,Alle 2 Wochen düngen während Wachstum.,Alle 3 Tage. Reichlich gießen.
Weintraube,,,outdoor,Viel Licht. Sonniger warmer Standort.,Gut durchlässige Erde.,Im Frühling und Sommer alle 4 Wochen düngen.,Alle 7 Tage. Mäßig gießen.
Dahlie,,,indoor,Viel Licht. Sonniger Standort.,Nährstoffreiche durchlässige Erde.,Alle 2 Wochen düngen während der Blüte.,Alle 5 Tage. Reichlich gießen.
Chrysantheme,,,indoor,Viel Licht. Sonniger Standort.,Lockere durchlässige Erde.,Alle 2 Wochen düngen während der Blüte. Im Winter nicht düngen.,Alle 5 Tage. Mäßig gießen.
Gardenie,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Saure torfhaltige Erde. pH-Wert 5 bis 6.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Jasmin,,,indoor,Helles Licht. Sonnig bis halbschattig.,Lockere humusreiche durchlässige Erde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Clematis,,,indoor,Helles Licht. Sonnig mit beschattetem Fuß.,Nährstoffreiche humusreiche Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Rose,,Rosaceae,outdoor,Viel Licht. Sonniger Standort.,Nährstoffreiche lehmige Erde. Gute Drainage.,Alle 4 Wochen Rosendünger im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Reichlich gießen.
Pfingstrose,,Rosaceae,outdoor,Viel Licht. Sonniger bis halbschattiger Standort.,Tiefgründige nährstoffreiche Erde.,Im Frühling und nach der Blüte düngen.,Alle 7 Tage. Mäßig gießen.
Krokus,,,outdoor,Viel Licht. Sonnig bis halbschattig.,Durchlässige Erde. Keine Staunässe.,Leichte Düngung nach der Blüte.,Alle 7 Tage. Mäßig gießen.
Tulpe,,Liliaceae,outdoor,Viel Licht. Sonniger Standort.,Durchlässige nährstoffreiche Erde.,Leichte Düngung nach der Blüte.,Alle 7 Tage. Mäßig gießen.
Narzisse,,Amaryllidaceae,outdoor,Viel Licht. Sonnig bis halbschattig.,Durchlässige nährstoffreiche Erde.,Leichte Düngung nach der Blüte.,Alle 7 Tage. Mäßig gießen.
Hyazinthe,,,outdoor,Viel Licht. Sonniger Standort.,Durchlässige nährstoffreiche Erde.,Leichte Düngung nach der Blüte.,Alle 7 Tage. Mäßig gießen.
Gladiole,,,indoor,Viel Licht. Volle Sonne ideal.,Lockere durchlässige nährstoffreiche Erde.,Alle 4 Wochen düngen während Wachstum.,Alle 5 Tage. Mäßig gießen.
Iris,,,indoor,Viel Licht. Sonniger Standort.,Durchlässige Erde. Keine Staunässe.,Leichte Düngung im Frühling.,Alle 7 Tage. Mäßig gießen.
Ranunkel,,,indoor,Helles Licht. Keine pralle Mittagssonne.,Lockere durchlässige Erde.,Alle 4 Wochen düngen während der Blüte.,Alle 5 Tage. Mäßig gießen.
Alpenveilchen,,,indoor,Helles indirektes Licht. Keine direkte Sonne. Kühl.,Durchlässige humusreiche Erde.,Alle 4 Wochen düngen während der Blüte. Im Sommer Ruhephase.,Alle 7 Tage. Mäßig gießen. Von unten gießen.
Vergissmeinnicht,,,indoor,Helles Licht. Halbschatten verträglich.,Feuchte humusreiche Erde.,Leichte Düngung im Frühling.,Alle 5 Tage. Gleichmäßig feucht halten.
Gerbera,,,indoor,Viel Licht. Sonniger Standort.,Lockere durchlässige Erde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Mäßig gießen.
Lisianthus,,,indoor,Helles indirektes Licht. Keine pralle Sonne.,Lockere durchlässige Erde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Mäßig gießen.
Anemone,,,indoor,Helles Licht. Halbschatten verträglich.,Lockere humusreiche Erde.,Leichte Düngung im Frühling.,Alle 5 Tage. Mäßig gießen.
Cosmea,,,indoor,Viel Licht. Sonniger Standort.,Lockere durchlässige Erde. Nicht zu nährstoffreich.,Wenig bis kein Dünger nötig.,Alle 7 Tage. Mäßig gießen.
Kornblume,,,indoor,Viel Licht. Sonniger Standort.,Durchlässige magere Erde.,Wenig bis kein Dünger nötig.,Alle 7 Tage. Sparsam gießen.
Ringelblume,,,herbal,Viel Licht. Sonniger Standort.,Lockere durchlässige Erde.,Alle 4 Wochen leicht düngen.,Alle 7 Tage. Mäßig gießen.
Tagetes,,,indoor,Viel Licht. Sonniger Standort.,Lockere durchlässige Erde.,Alle 4 Wochen leicht düngen.,Alle 7 Tage. Mäßig gießen.
Löwenmäulchen,,,indoor,Viel Licht. Sonnig bis halbschattig.,Lockere durchlässige Erde.,Alle 4 Wochen düngen.,Alle 5 Tage. Mäßig gießen.
Stockrose,,Rosaceae,outdoor,Viel Licht. Sonniger geschützter Standort.,Tiefgründige nährstoffreiche Erde.,Im Frühling düngen.,Alle 7 Tage. Mäßig gießen.
Eisenkraut,,,indoor,Viel Licht. Sonniger Standort.,Lockere durchlässige Erde.,Alle 2 Wochen düngen im Sommer.,Alle 5 Tage. Mäßig gießen.
Flieder,,,outdoor,Viel Licht. Sonniger Standort.,Durchlässige nährstoffreiche Erde.,Im Frühling düngen.,Alle 7 Tage. Mäßig gießen.
Schneeball,,,indoor,Helles Licht. Sonnig bis halbschattig.,Lockere humusreiche Erde.,Im Frühling düngen.,Alle 7 Tage. Gleichmäßig feucht halten.
Magnolie,,,indoor,Helles Licht. Sonnig bis halbschattig.,Lockere humusreiche leicht saure Erde.,Im Frühling und Sommer alle 4 Wochen düngen.,Alle 7 Tage. Gleichmäßig feucht halten.
Rhododendron,,,indoor,Helles Licht. Halbschatten bevorzugt.,Saure humusreiche Erde. pH-Wert 4 bis 5.,Im Frühling Rhododendrondünger geben.,Alle 5 Tage. Gleichmäßig feucht halten.
Forsythie,,,outdoor,Viel Licht. Sonniger Standort.,Lockere durchlässige Erde.,Im Frühling düngen.,Alle 7 Tage. Mäßig gießen.
Wisteria,,,indoor,Viel Licht. Sonniger Standort.,Nährstoffreiche durchlässige Erde.,Im Frühling düngen. Im Sommer alle 4 Wochen.,Alle 7 Tage. Mäßig gießen.
Efeu,,Araliaceae,indoor,Wenig bis mittleres Licht. Schattenverträglich.,Lockere humusreiche Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Geißblatt,,,indoor,Helles Licht. Sonnig bis halbschattig.,Lockere humusreiche Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Hopfen,,,indoor,Viel Licht. Sonniger Standort.,Nährstoffreiche tiefgründige Erde.,Alle 4 Wochen düngen im Sommer.,Alle 5 Tage. Gleichmäßig feucht halten.
Kletterrose,,Rosaceae,outdoor,Viel Licht. Sonniger Standort.,Nährstoffreiche lehmige Erde.,Alle 4 Wochen Rosendünger im Sommer.,Alle 5 Tage. Reichlich gießen.
Kletterhortensie,,,outdoor,Helles Licht. Halbschatten möglich.,Lockere humusreiche leicht saure Erde.,Im Frühling düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Trompetenblume,,,indoor,Viel Licht. Sonnig und warm.,Lockere nährstoffreiche Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Bambus,,,indoor,Helles Licht. Sonnig bis halbschattig.,Lockere humusreiche nährstoffreiche Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Pampasgras,,Poaceae,outdoor,Viel Licht. Sonniger Standort.,Lockere durchlässige Erde.,Im Frühling düngen.,Alle 7 Tage. Mäßig gießen.
Ziergras,,Poaceae,outdoor,Viel Licht. Sonniger Standort.,Durchlässige Erde.,Im Frühling leicht düngen.,Alle 7 Tage. Mäßig gießen.
Lampenputzergras,,Poaceae,outdoor,Viel Licht. Sonniger Standort.,Durchlässige lockere Erde.,Im Frühling leicht düngen.,Alle 7 Tage. Mäßig gießen.
